Site ID,Hours of Inundation(hrs),Ratio of Damage(%),Loss(NPR),Level of Inundation(m),Combined effect of level and hour of inundation,Building Typology
249013,12,10.0,1000.0,1.0,12.0,RCC Frame (Non-Engineered)
254854,48,20.0,8000.0,0.44,21.12,Earthen / Adobe
254854,24,10.0,0.0,0.35,8.399999999999999,Earthen / Adobe
255377,48,23.0,4000.0,0.1,4.800000000000001,Brick Masonry (Cement)
249235,24,10.0,5000.0,0.7,16.799999999999997,RCC Frame (Non-Engineered)
249051,24,20.0,5000.0,0.55,13.200000000000001,RCC Frame (Non-Engineered)
266387,24,40.0,50000.0,1.35,32.400000000000006,Earthen / Adobe
252760,2,20.0,50000.0,0.12,0.24,Brick Masonry (Cement)
252761,4,20.0,50000.0,0.5,2.0,Brick Masonry (Cement)
252757,4,100.0,80000.0,0.3,1.2,Brick Masonry (Cement)
252757,4,20.0,50000.0,0.3,1.2,Brick Masonry (Cement)
254876,8,30.0,4000.0,0.08,0.64,Brick Masonry (Cement)
250467,3,10.0,0.0,0.24,0.72,Brick Masonry (Cement)
248930,48,18.0,60000.0,0.12,5.76,Brick Masonry (Cement)
250662,12,20.0,0.0,0.24,2.88,Brick Masonry (Cement)
266640,12,80.0,0.0,0.24,2.88,Earthen / Adobe
250430,12,80.0,0.0,0.24,2.88,Earthen / Adobe
266686,48,80.0,50000.0,0.2,9.600000000000001,Brick Masonry (Cement)
266729,6,20.0,0.0,0.05,0.30000000000000004,Brick Masonry (Cement)
252270,24,100.0,200000.0,1.0,24.0,Brick Masonry (Cement)
252290,24,100.0,200000.0,2.0,48.0,Brick Masonry (Cement)
252274,24,100.0,30000.0,2.0,48.0,Brick Masonry (Cement)
252263,24,100.0,40000.0,2.0,48.0,Brick Masonry (Cement)
252292,24,100.0,20000.0,2.0,48.0,Brick Masonry (Cement)
250568,12,90.0,0.0,0.24,2.88,Brick Masonry (Cement)
266835,48,100.0,25000.0,2.0,96.0,Brick Masonry (Cement)
266859,24,100.0,20000.0,2.0,48.0,Earthen / Adobe
252407,24,100.0,150000.0,2.0,48.0,Brick Masonry (Cement)
252383,24,50.0,60000.0,1.0,24.0,Brick Masonry (Cement)
249836,72,84.0,60000.0,0.06,4.32,Brick Masonry (Cement)
249159,36,10.0,5000.0,0.45,16.2,RCC Frame (Non-Engineered)
248967,72,45.0,25000.0,0.1,7.2,Brick Masonry (Cement)
253341,24,5.0,20000.0,1.05,25.200000000000003,Brick Masonry (Cement)
253583,24,10.0,20000.0,1.05,25.200000000000003,Earthen / Adobe
253982,24,10.0,20000.0,1.05,25.200000000000003,Brick Masonry (Cement)
253678,48,10.0,30000.0,1.0,48.0,Brick Masonry (Cement)
253587,72,10.0,26000.0,0.8,57.6,Earthen / Adobe
253728,24,5.0,10000.0,1.4,33.599999999999994,Earthen / Adobe
268083,9,60.0,200000.0,1.0,9.0,Brick Masonry (Cement)
249498,4,10.0,20000.0,1.0,4.0,RCC Frame (Non-Engineered)
249502,4,15.0,10000.0,1.5,6.0,RCC Frame (Non-Engineered)
268164,5,15.0,5000.0,0.7,3.5,RCC Frame (Non-Engineered)
249753,48,40.0,60000.0,0.05,2.4000000000000004,Earthen / Adobe
268181,5,10.0,4000.0,0.45,2.25,RCC Frame (Non-Engineered)
253591,48,5.0,15000.0,0.6,28.799999999999997,Earthen / Adobe
249540,5,15.0,10000.0,0.6,3.0,RCC Frame (Non-Engineered)
268263,72,80.0,100000.0,0.16,11.52,Brick Masonry (Cement)
271144,24,40.0,6000.0,0.54,12.96,Earthen / Adobe
271144,24,20.0,25000.0,0.53,12.72,Earthen / Adobe
276205,48,10.0,30000.0,0.54,25.92,Brick Masonry (Cement)
276206,48,10.0,40000.0,0.58,27.839999999999996,Brick Masonry (Cement)
276207,48,19.0,150000.0,0.48,23.04,Brick Masonry (Cement)
272849,48,10.0,30000.0,0.52,24.96,Brick Masonry (Cement)
272849,48,8.0,15000.0,0.49,23.52,Brick Masonry (Cement)
253842,48,10.0,50000.0,0.53,25.44,Earthen / Adobe
